===================================================================================================================
Lumping method ** FullSystem ** | Pure organic component vapor pressure, param. A and B computed using EVAPORATION method | YaxisChoice = log10(act.coeff_ratio)
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 174
 
  EVAPParam_A,      EVAPParam_B,       SMILES                                                                                                                                                                                                                                                               
 4.480960E+00,    -5.600670E+04,    O=N(=O)OC(C)(C)C1CC=C(C)C(O)C1                                                                                                                                                                          
 4.123460E+00,    -5.019470E+04,    OCC1CC(O)(C(=O)C)C1(C)C                                                                                                                                                                                 
 4.507300E+00,    -6.527430E+04,    O=CCC(=O)CC(C(=O)C)C(C)(C)OO                                                                                                                                                                            
 3.514050E+00,    -3.724380E+04,    O=CCC1CC(C(=O)C)C1(C)C                                                                                                                                                                                  
 3.744050E+00,    -4.614790E+04,    CC(=O)C(O)COO                                                                                                                                                                                           
 4.935450E+00,    -7.649080E+04,    OCC(CC(=O)C(=O)O)C(C)(C)O                                                                                                                                                                               
 4.171410E+00,    -5.874910E+04,    OOC(C)(C)C1CC=C(C)C(O)C1                                                                                                                                                                                
 4.041850E+00,    -3.638670E+04,    OOCC(=O)C=O                                                                                                                                                                                             
 3.785450E+00,    -4.419420E+04,    O=CCC(OO)C(=O)C                                                                                                                                                                                         
 4.082770E+00,    -5.205740E+04,    OOCC(=O)C1CC(CC=O)C1(C)C                                                                                                                                                                                
 5.423900E+00,    -7.279560E+04,    OOC1CC(=O)CC(=O)C1(C)ON(=O)=O                                                                                                                                                                           
 4.094690E+00,    -4.720010E+04,    OCC(=O)O                                                                                                                                                                                                
 4.204480E+00,    -4.278760E+04,    O=CCC1CC(ON(=O)=O)C1(C)C                                                                                                                                                                                
 5.508740E+00,    -6.792070E+04,    OCC(CC(=O)C(=O)C)C(C)(C)ON(=O)=O                                                                                                                                                                        
 3.955700E+00,    -3.854040E+04,    OCC(=O)OON(=O)=O                                                                                                                                                                                        
 4.021540E+00,    -3.785020E+04,    OCC(=O)CC=O                                                                                                                                                                                             
 3.894910E+00,    -4.291970E+04,    O=CCC(O)CC=O                                                                                                                                                                                            
 4.414080E+00,    -4.528760E+04,    OOC(=O)CC(=O)C(=O)C                                                                                                                                                                                     
 3.011910E+00,    -1.761470E+04,    CC(=O)C                                                                                                                                                                                                 
 4.359810E+00,    -5.952790E+04,    OOCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                   
 3.737130E+00,    -3.130050E+04,    CC(=O)O                                                                                                                                                                                                 
 3.776080E+00,    -2.553160E+04,    O=CC(=O)C=O                                                                                                                                                                                             
 5.034520E+00,    -6.742350E+04,    O=C1CC(=O)C(C)(ON(=O)=O)C(C1)C(C)(C)O                                                                                                                                                                   
 4.393440E+00,    -5.252110E+04,    O=CCC(O)CC(=O)C(=O)C                                                                                                                                                                                    
 5.299610E+00,    -6.740030E+04,    OOC1C(=O)CC(=O)C(C)(ON(=O)=O)C1=O                                                                                                                                                                       
 3.485220E+00,    -2.907880E+04,    O=CC(O)C(=O)C                                                                                                                                                                                           
 4.120590E+00,    -5.487540E+04,    OOC1CC=C(C)C(O)C1                                                                                                                                                                                       
 4.952050E+00,    -7.560970E+04,    OCC(OO)CC(=O)C(=O)CO                                                                                                                                                                                    
 3.473140E+00,    -2.157310E+04,    O=CC(=O)C                                                                                                                                                                                               
 4.541690E+00,    -6.765040E+04,    OCC1CC(O)(C(=O)O)C1(C)C                                                                                                                                                                                 
 4.424430E+00,    -6.024060E+04,    OCC1CC(OO)(C(=O)C)C1(C)C                                                                                                                                                                                
 4.686990E+00,    -6.903130E+04,    O=C1CC(O)C(C)(O)C(O)C1                                                                                                                                                                                  
 4.234340E+00,    -5.878720E+04,    O=CCC(C(=O)O)C(C)(C)O                                                                                                                                                                                   
 4.866260E+00,    -7.270890E+04,    OCC(O)CC(=O)C(=O)O                                                                                                                                                                                      
 4.266880E+00,    -5.352610E+04,    O=CCC1CC(OO)(C(=O)C)C1(C)C                                                                                                                                                                              
 4.152760E+00,    -4.584210E+04,    OOCC1CC(C(=O)C)C1(C)C                                                                                                                                                                                   
 3.553000E+00,    -3.382620E+04,    O=CCC(=O)CC=O                                                                                                                                                                                           
 3.650490E+00,    -3.846620E+04,    O=CC(=O)CC(=O)OON(=O)=O                                                                                                                                                                                 
 4.171520E+00,    -4.048560E+04,    CC(=O)C1CC(O)C1(C)C                                                                                                                                                                                     
 4.805640E+00,    -5.678550E+04,    O=N(=O)OCC1CC(C(=O)O)C1(C)C                                                                                                                                                                             
 4.399090E+00,    -4.865410E+04,    OCC(=O)C(=O)CO                                                                                                                                                                                          
 4.276820E+00,    -4.553000E+04,    OOC1CC(C(=O)C)C1(C)C                                                                                                                                                                                    
 3.704360E+00,    -4.619730E+04,    O=N(=O)OOC(=O)CC(O)C(=O)C                                                                                                                                                                               
 3.797870E+00,    -4.510130E+04,    O=CCC(CC=O)C(C)(C)O                                                                                                                                                                                     
 3.451070E+00,    -3.442230E+04,    O=CC1CC(C(=O)C)C1(C)C                                                                                                                                                                                   
 4.417930E+00,    -5.375100E+04,    OC(=O)CC1CC(C(=O)C)C1(C)C                                                                                                                                                                               
 4.153260E+00,    -6.232450E+04,    OCC(=O)C1(O)CC(CO)C1(C)C                                                                                                                                                                                
 4.768270E+00,    -4.757380E+04,    O=CCC(=O)C(=O)O                                                                                                                                                                                         
