===================================================================================================================
Lumping method ** FullSystem ** | Organic surrogate components total (gas + condensed) composition | psat calculated by EVAP method at T = 298.15 K
YaxisChoice = log10(act.coeff_ratio)
Grid resolution = fullRes
===================================================================================================================
 
nneutral (full system) : 0175; # of organic surrogate components: 0174
 
Comp_ID, TotMassConc_lumped_[ug/m^3], ntot_lumped_[mol/m^3], TotMassConc_original_[ug/m^3], ntot_original_[mol/m^3], Molar_mass_[kg/mol]
110,        6.303726E-01,        3.384660E-09,        6.303726E-01,        3.384660E-09,        1.862440E-01
111,        2.462869E-08,        2.344830E-16,        2.462869E-08,        2.344830E-16,        1.050340E-01
112,        1.230968E-04,        9.321840E-13,        1.230968E-04,        9.321840E-13,        1.320520E-01
113,        6.931203E-02,        3.445240E-10,        6.931203E-02,        3.445240E-10,        2.011820E-01
114,        3.603833E-12,        1.645060E-20,        3.603833E-12,        1.645060E-20,        2.190700E-01
115,        1.680488E-04,        2.210180E-12,        1.680488E-04,        2.210180E-12,        7.603400E-02
116,        1.632054E-05,        8.719820E-14,        1.632054E-05,        8.719820E-14,        1.871660E-01
117,        1.272274E-05,        5.457360E-14,        1.272274E-05,        5.457360E-14,        2.331300E-01
118,        1.347355E-05,        9.831550E-14,        1.347355E-05,        9.831550E-14,        1.370440E-01
119,        1.536918E-12,        1.506280E-20,        1.536918E-12,        1.506280E-20,        1.020340E-01
120,        1.592555E-03,        1.371970E-11,        1.592555E-03,        1.371970E-11,        1.160780E-01
121,        1.342371E-04,        9.193190E-13,        1.342371E-04,        9.193190E-13,        1.460180E-01
122,        3.787833E-01,        6.526920E-09,        3.787833E-01,        6.526920E-09,        5.803400E-02
123,        2.718003E-02,        1.560510E-10,        2.718003E-02,        1.560510E-10,        1.741740E-01
124,        5.983325E-03,        9.966560E-11,        5.983325E-03,        9.966560E-11,        6.003400E-02
125,        1.020806E-09,        1.173340E-17,        1.020806E-09,        1.173340E-17,        8.700000E-02
126,        1.618530E-20,        6.574740E-29,        1.618530E-20,        6.574740E-29,        2.461740E-01
127,        8.931487E-02,        5.650980E-10,        8.931487E-02,        5.650980E-10,        1.580520E-01
128,        1.004022E-15,        4.271160E-24,        1.004022E-15,        4.271160E-24,        2.350700E-01
129,        1.161229E-04,        1.138170E-12,        1.161229E-04,        1.138170E-12,        1.020260E-01
130,        9.082098E-03,        6.299750E-11,        9.082098E-03,        6.299750E-11,        1.441660E-01
131,        8.324643E-04,        4.674980E-12,        8.324643E-04,        4.674980E-12,        1.780680E-01
132,        2.530822E-04,        3.515030E-12,        2.530822E-04,        3.515030E-12,        7.200000E-02
133,        2.121300E-01,        1.217920E-09,        2.121300E-01,        1.217920E-09,        1.741740E-01
134,        2.452792E+00,        1.303470E-08,        2.452792E+00,        1.303470E-08,        1.881740E-01
135,        8.362085E-03,        5.222060E-11,        8.362085E-03,        5.222060E-11,        1.601300E-01
136,        1.666937E-12,        1.040990E-20,        1.666937E-12,        1.040990E-20,        1.601300E-01
137,        1.778911E-11,        1.201480E-19,        1.778911E-11,        1.201480E-19,        1.480600E-01
138,        1.316992E+00,        6.579500E-09,        1.316992E+00,        6.579500E-09,        2.001660E-01
139,        9.922560E-02,        5.763100E-10,        9.922560E-02,        5.763100E-10,        1.721740E-01
140,        1.782318E-02,        1.563080E-10,        1.782318E-02,        1.563080E-10,        1.140260E-01
141,        6.418011E-08,        3.625790E-16,        6.418011E-08,        3.625790E-16,        1.770100E-01
142,        6.689442E-12,        4.705970E-20,        6.689442E-12,        4.705970E-20,        1.421480E-01
143,        3.392872E-05,        1.670000E-13,        3.392872E-05,        1.670000E-13,        2.031660E-01
144,        3.234488E-13,        2.740720E-21,        3.234488E-13,        2.740720E-21,        1.180160E-01
145,        9.080305E-02,        5.741650E-10,        9.080305E-02,        5.741650E-10,        1.581480E-01
146,        2.147197E-05,        1.112180E-13,        2.147197E-05,        1.112180E-13,        1.930620E-01
147,        4.741675E-03,        2.998100E-11,        4.741675E-03,        2.998100E-11,        1.581560E-01
148,        7.986841E-01,        5.181550E-09,        7.986841E-01,        5.181550E-09,        1.541400E-01
149,        9.888517E-01,        5.369350E-09,        9.888517E-01,        5.369350E-09,        1.841660E-01
150,        3.079805E-11,        1.636610E-19,        3.079805E-11,        1.636610E-19,        1.881820E-01
151,        4.862569E-02,        4.191870E-10,        4.862569E-02,        4.191870E-10,        1.160000E-01
152,        3.197943E-04,        2.421730E-12,        3.197943E-04,        2.421730E-12,        1.320520E-01
153,        5.993117E-05,        2.549590E-13,        5.993117E-05,        2.549590E-13,        2.350620E-01
154,        5.497957E-16,        6.247110E-24,        5.497957E-16,        6.247110E-24,        8.800800E-02
155,        3.896136E-04,        2.667490E-12,        3.896136E-04,        2.667490E-12,        1.460600E-01
156,        1.211500E-03,        6.342600E-12,        1.211500E-03,        6.342600E-12,        1.910100E-01
157,        2.460054E-03,        1.216740E-11,        2.460054E-03,        1.216740E-11,        2.021840E-01
158,        3.238011E-04,        1.860370E-12,        3.238011E-04,        1.860370E-12,        1.740520E-01
159,        2.978300E-05,        1.719990E-13,        2.978300E-05,        1.719990E-13,        1.731580E-01
160,        2.726195E-01,        1.488520E-09,        2.726195E-01,        1.488520E-09,        1.831480E-01
161,        9.914837E-04,        5.696480E-12,        9.914837E-04,        5.696480E-12,        1.740520E-01
162,        7.619697E-06,        4.008890E-14,        7.619697E-06,        4.008890E-14,        1.900700E-01
163,        4.334850E-01,        2.778750E-09,        4.334850E-01,        2.778750E-09,        1.560000E-01
164,        2.273388E-10,        1.320340E-18,        2.273388E-10,        1.320340E-18,        1.721820E-01
165,        2.984863E-04,        2.002780E-12,        2.984863E-04,        2.002780E-12,        1.490360E-01
166,        1.220481E-12,        1.033850E-20,        1.220481E-12,        1.033850E-20,        1.180520E-01
167,        8.723377E-04,        3.741530E-12,        8.723377E-04,        3.741530E-12,        2.331500E-01
168,        5.220224E-05,        6.864020E-13,        5.220224E-05,        6.864020E-13,        7.605200E-02
169,        3.815090E-04,        2.648890E-12,        3.815090E-04,        2.648890E-12,        1.440260E-01
170,        5.196397E-08,        2.210010E-16,        5.196397E-08,        2.210010E-16,        2.351300E-01
171,        1.470077E-12,        1.266740E-20,        1.470077E-12,        1.266740E-20,        1.160520E-01
172,        7.213998E-05,        8.101610E-13,        7.213998E-05,        8.101610E-13,        8.904400E-02
173,        1.978245E-05,        9.555910E-14,        1.978245E-05,        9.555910E-14,        2.070180E-01
174,        3.095204E-12,        2.147240E-20,        3.095204E-12,        2.147240E-20,        1.441480E-01
175,        1.126116E-02,        6.541860E-11,        1.126116E-02,        6.541860E-11,        1.721400E-01
