CpNo SMILES VP_N_BP_N_ParA VP_N_BP_N_ParB VP_N_BP_SB_ParA VP_N_BP_SB_ParB VP_N_BP_JR_ParA VP_N_BP_JR_ParB VP_MY_BP_N_ParA VP_MY_BP_N_ParB VP_MY_BP_SB_ParA VP_MY_BP_SB_ParB VP_MY_BP_JR_ParA VP_MY_BP_JR_ParB EVAP_ParA EVAP_ParB EVAP2_ParA EVAP2_ParB SIMPOL_ParA SIMPOL_ParB
29 OOCC=O 3.62901E+00 -3.32366E+04 3.62771E+00 -3.35230E+04 3.63696E+00 -3.18983E+04 3.91314E+00 -3.50038E+04 3.91112E+00 -3.53020E+04 3.92041E+00 -3.35908E+04 3.42868E+00 -2.96068E+04 3.42868E+00 -2.96068E+04 3.07692E+00 -2.99864E+04
30 O=CCC(=O)C(=O)C 3.26373E+00 -3.20104E+04 3.26423E+00 -3.35605E+04 3.26477E+00 -3.38462E+04 3.42756E+00 -3.23381E+04 3.42328E+00 -3.38782E+04 3.42200E+00 -3.41573E+04 3.72752E+00 -3.25004E+04 3.72752E+00 -3.25004E+04 2.23824E+00 -2.93889E+04
31 CO 3.57977E+00 -1.96327E+04 3.57599E+00 -1.97634E+04 3.57092E+00 -1.99409E+04 4.59760E+00 -2.52092E+04 4.60039E+00 -2.54143E+04 4.60397E+00 -2.56916E+04 3.64385E+00 -2.15077E+04 3.64385E+00 -2.15077E+04 3.61600E+00 -2.24841E+04
32 OCC(OO)CC(=O)C(=O)C 4.42162E+00 -6.41398E+04 4.33065E+00 -6.04268E+04 4.75907E+00 -7.50243E+04 3.48907E+00 -5.45191E+04 3.55966E+00 -5.20705E+04 3.26941E+00 -6.11235E+04 4.85941E+00 -6.34799E+04 4.85941E+00 -6.34799E+04 1.42907E+00 -4.43274E+04
33 O=CCC(CC(=O)C(=O)C)C(C)(C)ON(=O)=O 4.11787E+00 -5.89952E+04 4.12306E+00 -5.92009E+04 4.68242E+00 -7.61357E+04 3.40949E+00 -5.03637E+04 3.40628E+00 -5.05018E+04 3.11062E+00 -6.07724E+04 4.60948E+00 -6.12061E+04 4.60948E+00 -6.12061E+04 2.34047E+00 -5.21128E+04
34 OCC1CC(C(=O)O)C1(C)C 4.32415E+00 -5.70566E+04 4.34311E+00 -5.80717E+04 4.58819E+00 -6.82454E+04 3.50871E+00 -4.76417E+04 3.49061E+00 -4.83211E+04 3.29584E+00 -5.46936E+04 4.48135E+00 -5.76441E+04 4.48135E+00 -5.76441E+04 3.00345E+00 -5.28391E+04
35 O=N(=O)OOC(=O)C1CC(C(=O)C)C1(C)C 3.66214E+00 -4.55599E+04 3.68024E+00 -4.68000E+04 3.82236E+00 -5.40134E+04 3.41305E+00 -4.16755E+04 3.39722E+00 -4.26482E+04 3.28742E+00 -4.79715E+04 3.51672E+00 -4.22699E+04 3.51672E+00 -4.22699E+04 1.43988E+00 -3.45400E+04
36 O=CCC(CC(=O)C(=O)C)C(C)(C)OO 4.35379E+00 -6.43585E+04 4.31144E+00 -6.28121E+04 4.99603E+00 -8.23589E+04 3.43391E+00 -5.45264E+04 3.46176E+00 -5.35259E+04 3.08640E+00 -6.49724E+04 4.68182E+00 -6.39485E+04 4.68182E+00 -6.39485E+04 2.01314E+00 -5.16897E+04
37 OOCC(=O)CC=O 3.77363E+00 -4.43884E+04 3.77429E+00 -4.44539E+04 3.78453E+00 -4.54119E+04 3.70105E+00 -4.29928E+04 3.70008E+00 -4.30483E+04 3.68547E+00 -4.38538E+04 3.89108E+00 -4.05340E+04 3.89108E+00 -4.05340E+04 2.32052E+00 -3.52978E+04
38 O=CCC(OO)C(=O)O 4.64290E+00 -6.37293E+04 4.61887E+00 -6.25734E+04 4.79979E+00 -7.02037E+04 3.58404E+00 -5.15009E+04 3.60454E+00 -5.07613E+04 3.46409E+00 -5.54704E+04 4.32294E+00 -6.16499E+04 4.32294E+00 -6.16499E+04 2.36361E+00 -4.87251E+04
39 CC(=O)C(O)CO 3.84354E+00 -4.50833E+04 3.81906E+00 -4.19000E+04 3.86975E+00 -4.74088E+04 3.79345E+00 -4.44757E+04 3.84780E+00 -4.17084E+04 3.74916E+00 -4.64163E+04 3.83630E+00 -4.34640E+04 3.83630E+00 -4.34640E+04 2.69695E+00 -4.03587E+04
40 OCC(=O)CC(=O)C(=O)C 3.66423E+00 -4.77493E+04 3.64030E+00 -4.62794E+04 3.77268E+00 -5.30734E+04 3.53957E+00 -4.67798E+04 3.56644E+00 -4.55837E+04 3.43354E+00 -5.09040E+04 4.52908E+00 -4.74516E+04 4.52908E+00 -4.74516E+04 1.23454E+00 -3.56483E+04
41 O=CCC(CC=O)ON(=O)=O 3.85356E+00 -4.67385E+04 3.84492E+00 -4.59917E+04 3.84900E+00 -4.63523E+04 3.49489E+00 -4.12196E+04 3.50215E+00 -4.06338E+04 3.49870E+00 -4.09174E+04 3.92787E+00 -4.52217E+04 3.92787E+00 -4.52217E+04 3.60116E+00 -4.47947E+04
42 O=CCC(=O)CC(=O)OON(=O)=O 3.72361E+00 -4.45425E+04 3.74729E+00 -4.64613E+04 3.77811E+00 -4.85362E+04 3.52392E+00 -4.08411E+04 3.50411E+00 -4.23914E+04 3.47946E+00 -4.40191E+04 3.53895E+00 -4.26135E+04 3.53895E+00 -4.26135E+04 1.31152E+00 -3.17688E+04
43 OCC(O)CC(=O)C(=O)CO 4.99055E+00 -7.56435E+04 4.84536E+00 -7.05899E+04 5.74992E+00 -9.56582E+04 3.42719E+00 -5.87436E+04 3.52327E+00 -5.58136E+04 3.03285E+00 -6.90110E+04 4.86857E+00 -6.97651E+04 4.86857E+00 -6.97651E+04 1.66565E+00 -5.54631E+04
44 CC(=O)C(=O)CO 3.36258E+00 -3.69128E+04 3.35469E+00 -3.49519E+04 3.36387E+00 -3.71375E+04 3.70422E+00 -3.99906E+04 3.73193E+00 -3.80409E+04 3.70072E+00 -4.02097E+04 4.23529E+00 -3.65243E+04 4.23529E+00 -3.65243E+04 1.99094E+00 -3.03369E+04
45 COO 3.57709E+00 -2.43966E+04 3.58480E+00 -2.40081E+04 3.59307E+00 -2.36087E+04 4.18079E+00 -2.82434E+04 4.17753E+00 -2.77351E+04 4.17346E+00 -2.72084E+04 3.47196E+00 -2.33915E+04 3.47196E+00 -2.33915E+04 3.10452E+00 -2.11414E+04
46 OOC(C)(C)C1CC(=O)CC(=O)C1(C)ON(=O)=O 4.71131E+00 -7.29673E+04 4.77042E+00 -7.47085E+04 6.59944E+00 -1.13135E+05 3.18855E+00 -5.62136E+04 3.15658E+00 -5.71707E+04 2.44212E+00 -7.46407E+04 5.41994E+00 -7.66693E+04 5.41994E+00 -7.66693E+04 1.23342E+00 -5.22538E+04
47 O=N(=O)OCC(O)C(=O)C 3.85978E+00 -4.48528E+04 3.85753E+00 -4.46034E+04 3.93145E+00 -5.04929E+04 3.65597E+00 -4.17250E+04 3.65916E+00 -4.15190E+04 3.57199E+00 -4.61903E+04 4.07469E+00 -4.34055E+04 4.07469E+00 -4.34055E+04 2.51280E+00 -3.94390E+04
48 OOC(=O)CC(=O)C=O 3.80158E+00 -4.32044E+04 3.81222E+00 -4.44456E+04 3.82195E+00 -4.54162E+04 3.67539E+00 -4.09898E+04 3.65870E+00 -4.20333E+04 3.64477E+00 -4.28359E+04 4.35110E+00 -4.24661E+04 4.35110E+00 -4.24661E+04 2.62143E+00 -3.68329E+04
49 O=CCC1CC(O)C1(C)C 3.64690E+00 -3.85955E+04 3.66298E+00 -4.15217E+04 3.69605E+00 -4.48726E+04 3.63230E+00 -3.75055E+04 3.59655E+00 -4.00861E+04 3.54584E+00 -4.28990E+04 4.17152E+00 -4.04856E+04 4.17152E+00 -4.04856E+04 3.80142E+00 -4.57155E+04
50 O=CCC(OO)CC(=O)C(=O)C 4.15944E+00 -5.81990E+04 4.14310E+00 -5.74760E+04 4.43036E+00 -6.79875E+04 3.50755E+00 -5.10200E+04 3.52032E+00 -5.05187E+04 3.32197E+00 -5.73879E+04 4.49874E+00 -5.75655E+04 4.49874E+00 -5.75655E+04 1.67637E+00 -4.33794E+04
51 CC(=O)COO 3.35409E+00 -3.35821E+04 3.35606E+00 -3.19861E+04 3.35498E+00 -3.24765E+04 3.81320E+00 -3.72911E+04 3.82876E+00 -3.55845E+04 3.82449E+00 -3.61142E+04 3.49166E+00 -3.24283E+04 3.49166E+00 -3.24283E+04 2.34812E+00 -2.64528E+04
52 O=CCC1(ON(=O)=O)CC(C(=O)C)C1(C)C 3.86256E+00 -5.13573E+04 3.90808E+00 -5.36287E+04 4.20726E+00 -6.46993E+04 3.35838E+00 -4.47499E+04 3.32457E+00 -4.63607E+04 3.13509E+00 -5.35576E+04 4.40930E+00 -5.45536E+04 4.40930E+00 -5.45536E+04 2.86086E+00 -5.01073E+04
53 O=CCC(CC=O)C(C)(C)OO 4.12730E+00 -5.55965E+04 4.10907E+00 -5.46511E+04 4.25833E+00 -6.13573E+04 3.58317E+00 -4.91163E+04 3.59853E+00 -4.84347E+04 3.48272E+00 -5.30975E+04 4.18329E+00 -5.43471E+04 4.18329E+00 -5.43471E+04 3.61061E+00 -5.26820E+04
54 C=O 3.27082E+00 -1.32615E+04 3.19753E+00 -1.51865E+04 3.22780E+00 -1.43532E+04 2.76429E+00 -1.11194E+04 2.96307E+00 -1.41099E+04 2.88491E+00 -1.28351E+04 2.88595E+00 -1.19717E+04 2.88595E+00 -1.19717E+04 3.89090E+00 -1.26911E+04
55 O=CCC(C(=O)C)C(C)(C)OO 3.93609E+00 -5.17680E+04 3.92540E+00 -5.11587E+04 4.11660E+00 -5.98642E+04 3.56561E+00 -4.73819E+04 3.57564E+00 -4.69212E+04 3.41840E+00 -5.31608E+04 4.18329E+00 -5.43471E+04 4.18329E+00 -5.43471E+04 2.76954E+00 -4.63783E+04
56 O=N(=O)OCC1CC(C(=O)C)C1(C)C 3.59509E+00 -4.40036E+04 3.59904E+00 -4.43105E+04 3.69729E+00 -5.01628E+04 3.40152E+00 -4.07638E+04 3.39779E+00 -4.10115E+04 3.31430E+00 -4.55226E+04 4.08042E+00 -4.30997E+04 4.08042E+00 -4.30997E+04 2.88846E+00 -4.12623E+04
57 OOC(=O)CC1CC(C(=O)CO)C1(C)C 4.52636E+00 -6.54594E+04 4.53517E+00 -6.57969E+04 5.18734E+00 -8.49133E+04 3.42283E+00 -5.29369E+04 3.41676E+00 -5.31449E+04 3.05207E+00 -6.37641E+04 4.35106E+00 -6.02813E+04 4.35106E+00 -6.02813E+04 2.69940E+00 -5.49374E+04
58 OCC(=O)C1CC(CC(=O)O)C1(C)C 4.70938E+00 -6.98240E+04 4.70071E+00 -6.95170E+04 5.53483E+00 -9.21525E+04 3.33567E+00 -5.43309E+04 3.34130E+00 -5.41527E+04 2.90896E+00 -6.58869E+04 4.47176E+00 -6.58808E+04 4.47176E+00 -6.58808E+04 2.24705E+00 -5.81505E+04
59 O=CCC1(OO)CC(C(=O)C)C1(C)C 4.06656E+00 -5.61032E+04 4.09059E+00 -5.71801E+04 4.46915E+00 -7.01722E+04 3.41688E+00 -4.88331E+04 3.39758E+00 -4.95711E+04 3.14484E+00 -5.77411E+04 4.48164E+00 -5.72959E+04 4.48164E+00 -5.72959E+04 2.53354E+00 -4.96842E+04
60 O=CC(=O)C(=O)C 3.21786E+00 -2.88571E+04 3.20986E+00 -3.08414E+04 3.20978E+00 -3.08774E+04 3.38651E+00 -2.93125E+04 3.38984E+00 -3.13837E+04 3.38981E+00 -3.14205E+04 3.83906E+00 -2.83531E+04 3.83906E+00 -2.83531E+04 2.12599E+00 -2.66187E+04
61 O=CCC(OO)CC=O 4.03628E+00 -5.05993E+04 4.02182E+00 -4.95467E+04 4.03640E+00 -5.06082E+04 3.66502E+00 -4.58713E+04 3.68094E+00 -4.50586E+04 3.66489E+00 -4.58781E+04 4.00021E+00 -4.79641E+04 4.00021E+00 -4.79641E+04 3.27384E+00 -4.43716E+04
62 OCC(OO)CC(=O)C(=O)O 5.49319E+00 -8.56678E+04 5.28215E+00 -7.90220E+04 6.29859E+00 -1.05571E+05 3.33881E+00 -6.11160E+04 3.45887E+00 -5.76575E+04 2.97201E+00 -7.03194E+04 4.94974E+00 -7.85534E+04 4.94974E+00 -7.85534E+04 1.35990E+00 -5.49845E+04
