CpNo SMILES VP_N_BP_N_ParA VP_N_BP_N_ParB VP_N_BP_SB_ParA VP_N_BP_SB_ParB VP_N_BP_JR_ParA VP_N_BP_JR_ParB VP_MY_BP_N_ParA VP_MY_BP_N_ParB VP_MY_BP_SB_ParA VP_MY_BP_SB_ParB VP_MY_BP_JR_ParA VP_MY_BP_JR_ParB EVAP_ParA EVAP_ParB EVAP2_ParA EVAP2_ParB SIMPOL_ParA SIMPOL_ParB
153 O=C(OON(=O)=O)CC(=O)CC(O)C(=O)C 4.36772E+00 -6.18174E+04 4.38272E+00 -6.24354E+04 4.98524E+00 -8.09387E+04 3.52538E+00 -5.17464E+04 3.51525E+00 -5.21517E+04 3.18015E+00 -6.30635E+04 3.98809E+00 -5.80642E+04 3.98809E+00 -5.80642E+04 4.20069E-01 -4.07983E+04
154 OCC(=O)C=O 3.57013E+00 -3.61438E+04 3.57018E+00 -3.62133E+04 3.57012E+00 -3.61423E+04 3.79791E+00 -3.76215E+04 3.79710E+00 -3.76894E+04 3.79793E+00 -3.76200E+04 4.17231E+00 -3.37029E+04 4.17231E+00 -3.37029E+04 2.71975E+00 -3.38704E+04
155 CC(=O)C(O)CC(=O)CO 4.14694E+00 -5.60129E+04 4.10765E+00 -5.39336E+04 4.39895E+00 -6.60837E+04 3.58702E+00 -5.01793E+04 3.62583E+00 -4.86742E+04 3.38247E+00 -5.69396E+04 3.94754E+00 -5.33009E+04 3.94754E+00 -5.33009E+04 1.94055E+00 -4.56701E+04
156 O=N(=O)OOC(=O)CC(=O)C(=O)C 3.71640E+00 -4.46464E+04 3.72001E+00 -4.49572E+04 3.78079E+00 -4.91638E+04 3.47812E+00 -4.06079E+04 3.47492E+00 -4.08585E+04 3.42436E+00 -4.41390E+04 3.71347E+00 -4.12877E+04 3.71347E+00 -4.12877E+04 4.70458E-01 -2.54651E+04
157 OOC(=O)CC1CC(C(=O)O)C1(C)C 4.34110E+00 -6.11638E+04 4.37735E+00 -6.26565E+04 4.84647E+00 -7.75393E+04 3.43229E+00 -5.10226E+04 3.40474E+00 -5.19809E+04 3.11234E+00 -6.06913E+04 4.44506E+00 -6.18374E+04 4.44506E+00 -6.18374E+04 2.90514E+00 -5.58016E+04
158 O=CCC(=O)CC(OO)C(=O)C 4.15944E+00 -5.81990E+04 4.14310E+00 -5.74760E+04 4.43036E+00 -6.79875E+04 3.50755E+00 -5.10200E+04 3.52032E+00 -5.05187E+04 3.32197E+00 -5.73879E+04 4.14886E+00 -5.51214E+04 4.14886E+00 -5.51214E+04 1.67637E+00 -4.33794E+04
159 O=N(=O)OC1CC=C(C)C(O)C1 3.93688E+00 -4.66390E+04 3.97993E+00 -5.00699E+04 4.10351E+00 -5.67918E+04 3.52816E+00 -4.13176E+04 3.47733E+00 -4.39044E+04 3.36139E+00 -4.86347E+04 4.48492E+00 -5.21331E+04 4.48492E+00 -5.21331E+04 3.13848E+00 -4.51137E+04
160 O=CCC1CC(C(=O)C=O)C1(C)C 3.60238E+00 -4.54667E+04 3.62923E+00 -4.71539E+04 3.70871E+00 -5.12391E+04 3.35810E+00 -4.18680E+04 3.33430E+00 -4.31786E+04 3.26992E+00 -4.62199E+04 3.88662E+00 -4.12022E+04 3.88662E+00 -4.12022E+04 3.18007E+00 -4.73088E+04
161 OC(=O)CC(=O)CC(O)C(=O)C 4.74588E+00 -6.97982E+04 4.69212E+00 -6.77867E+04 5.42826E+00 -8.92199E+04 3.42353E+00 -5.48734E+04 3.46005E+00 -5.36740E+04 3.05223E+00 -6.52511E+04 4.27601E+00 -6.76636E+04 4.27601E+00 -6.76636E+04 1.38988E+00 -5.18457E+04
162 OOC(=O)CC(=O)CC(O)C(=O)C 4.56714E+00 -6.52603E+04 4.53974E+00 -6.41339E+04 5.11465E+00 -8.23757E+04 3.51239E+00 -5.31537E+04 3.53213E+00 -5.24414E+04 3.18998E+00 -6.29664E+04 4.15531E+00 -6.20641E+04 4.15531E+00 -6.20641E+04 1.84223E+00 -4.86326E+04
163 O=CCC(=O)CC(=O)C(=O)C 3.49733E+00 -4.34371E+04 3.50867E+00 -4.42343E+04 3.57898E+00 -4.82835E+04 3.41418E+00 -4.16030E+04 3.40370E+00 -4.22604E+04 3.34353E+00 -4.54775E+04 3.96392E+00 -4.34276E+04 3.96392E+00 -4.34276E+04 1.48184E+00 -3.47003E+04
164 OCC(=O)C1CC(CO)C1(C)C 4.14207E+00 -5.67397E+04 4.13314E+00 -5.63130E+04 4.46969E+00 -6.88471E+04 3.48314E+00 -4.97557E+04 3.49121E+00 -4.94595E+04 3.23747E+00 -5.75443E+04 4.38735E+00 -5.60881E+04 4.38735E+00 -5.60881E+04 2.79772E+00 -5.19749E+04
165 O=CCC(=O)OON(=O)=O 3.37334E+00 -3.23500E+04 3.37183E+00 -3.37644E+04 3.37288E+00 -3.25662E+04 3.50385E+00 -3.22333E+04 3.50464E+00 -3.36522E+04 3.50425E+00 -3.24526E+04 3.24219E+00 -3.16863E+04 3.24219E+00 -3.16863E+04 2.06792E+00 -2.64574E+04
166 O=CCC(O)C(=O)O 4.42120E+00 -5.54248E+04 4.42939E+00 -5.59841E+04 4.54121E+00 -6.21713E+04 3.69956E+00 -4.69878E+04 3.68999E+00 -4.73803E+04 3.57715E+00 -5.15493E+04 4.22004E+00 -5.58054E+04 4.16145E+00 -5.42051E+04 2.87509E+00 -5.00678E+04
167 O=N(=O)OOC(=O)C1CC(C(=O)O)C1(C)C 4.18702E+00 -5.62086E+04 4.27176E+00 -6.01444E+04 4.66096E+00 -7.33128E+04 3.45823E+00 -4.72745E+04 3.39328E+00 -4.98951E+04 3.15125E+00 -5.78194E+04 4.38480E+00 -5.59557E+04 4.38480E+00 -5.59557E+04 1.37071E+00 -4.51972E+04
168 CC(=O)OO 3.53369E+00 -2.49214E+04 3.52177E+00 -2.56165E+04 3.52890E+00 -2.51937E+04 3.87048E+00 -2.69261E+04 3.87802E+00 -2.77772E+04 3.87367E+00 -2.72609E+04 3.56644E+00 -2.57010E+04 3.56644E+00 -2.57010E+04 3.51769E+00 -2.54466E+04
169 O=CC(=O)CC(O)C(=O)C 3.83773E+00 -4.75028E+04 3.84809E+00 -4.82481E+04 3.97997E+00 -5.53752E+04 3.59223E+00 -4.43481E+04 3.58020E+00 -4.49363E+04 3.45135E+00 -5.02620E+04 4.11368E+00 -4.51296E+04 4.11368E+00 -4.51296E+04 2.07560E+00 -4.19520E+04
170 OCC(CC(=O)C(=O)O)C(C)(C)ON(=O)=O 5.34775E+00 -8.30386E+04 5.27252E+00 -8.07410E+04 6.88319E+00 -1.17644E+05 3.34261E+00 -5.91428E+04 3.38103E+00 -5.79527E+04 2.74705E+00 -7.44239E+04 5.72711E+00 -8.29942E+04 5.72711E+00 -8.29942E+04 2.02400E+00 -6.37180E+04
171 O=CCC(O)C(=O)C 3.65834E+00 -3.86653E+04 3.66253E+00 -3.97007E+04 3.68347E+00 -4.27157E+04 3.72619E+00 -3.84377E+04 3.71421E+00 -3.93858E+04 3.67283E+00 -4.20593E+04 3.63872E+00 -3.83497E+04 3.63872E+00 -3.83497E+04 2.94426E+00 -3.94107E+04
172 COON(=O)=O 3.46097E+00 -2.28981E+04 3.43948E+00 -2.39942E+04 3.45190E+00 -2.33441E+04 3.29471E+00 -2.14954E+04 3.32840E+00 -2.27926E+04 3.30921E+00 -2.20269E+04 3.46260E+00 -2.34706E+04 3.46260E+00 -2.34706E+04 3.89090E+00 -1.26911E+04
173 OCC(=O)C(=O)CC(=O)OON(=O)=O 4.21149E+00 -5.80910E+04 4.21893E+00 -5.84309E+04 4.53129E+00 -6.97931E+04 3.52952E+00 -4.99943E+04 3.52390E+00 -5.02275E+04 3.31901E+00 -5.74972E+04 4.45205E+00 -5.34174E+04 4.45205E+00 -5.34174E+04 1.95556E-01 -3.52581E+04
174 OC(=O)C1CC(O)C1(C)C 4.25238E+00 -5.19376E+04 4.29150E+00 -5.47198E+04 4.48239E+00 -6.40963E+04 3.57702E+00 -4.39671E+04 3.52983E+00 -4.59179E+04 3.35277E+00 -5.20155E+04 4.35549E+00 -5.41714E+04 4.35549E+00 -5.41714E+04 2.89120E+00 -5.00689E+04
175 OC(=O)C1CC(C(=O)O)C1(C)C 4.37163E+00 -6.17849E+04 4.39754E+00 -6.28491E+04 4.86533E+00 -7.77598E+04 3.36155E+00 -5.07758E+04 3.34098E+00 -5.14432E+04 3.03860E+00 -5.99916E+04 4.50278E+00 -6.46154E+04 4.50278E+00 -6.46154E+04 2.34053E+00 -5.62445E+04
